close,rolling_mean,rolling_std,lag_1,lag_2,lag_3,lag_4,lead_1,lead_2,lead_3,lead_4
0.61668,0.6089512602739726,0.02707763922888286,0.62034,0.61966,0.61924,0.62063,0.6184,0.62169,0.62369,0.61727
0.6184,0.608956493150685,0.02707928463511422,0.61668,0.62034,0.61966,0.61924,0.62169,0.62369,0.61727,0.6186
0.62169,0.6089673698630137,0.027083611223570628,0.6184,0.61668,0.62034,0.61966,0.62369,0.61727,0.6186,0.61841
0.62369,0.6090002739726027,0.027094209326821182,0.62169,0.6184,0.61668,0.62034,0.61727,0.6186,0.61841,0.61633
0.61727,0.6090347945205479,0.02709670366947999,0.62369,0.62169,0.6184,0.61668,0.6186,0.61841,0.61633,0.61392
0.6186,0.6091007945205479,0.027090565694383725,0.61727,0.62369,0.62169,0.6184,0.61841,0.61633,0.61392,0.61261
0.61841,0.6091855342465754,0.027071117491802906,0.6186,0.61727,0.62369,0.62169,0.61633,0.61392,0.61261,0.61188
0.61633,0.6092593972602739,0.027053676958933622,0.61841,0.6186,0.61727,0.62369,0.61392,0.61261,0.61188,0.6132
0.61392,0.6093284657534247,0.027033242932800135,0.61633,0.61841,0.6186,0.61727,0.61261,0.61188,0.6132,0.6133
0.61261,0.609371397260274,0.027025956539749818,0.61392,0.61633,0.61841,0.6186,0.61188,0.6132,0.6133,0.6129
0.61188,0.6094101643835617,0.027019359633933607,0.61261,0.61392,0.61633,0.61841,0.6132,0.6133,0.6129,0.61555
0.6132,0.6094547123287671,0.027012146377301604,0.61188,0.61261,0.61392,0.61633,0.6133,0.6129,0.61555,0.61528
0.6133,0.6095161643835616,0.026995259007351544,0.6132,0.61188,0.61261,0.61392,0.6129,0.61555,0.61528,0.61631
0.6129,0.609581095890411,0.026974753365422766,0.6133,0.6132,0.61188,0.61261,0.61555,0.61528,0.61631,0.61871
0.61555,0.6096638630136987,0.026946501783863677,0.6129,0.6133,0.6132,0.61188,0.61528,0.61631,0.61871,0.62122
0.61528,0.6097650958904111,0.026897826126551155,0.61555,0.6129,0.6133,0.6132,0.61631,0.61871,0.62122,0.62467
0.61631,0.6098434794520549,0.02687502594330937,0.61528,0.61555,0.6129,0.6133,0.61871,0.62122,0.62467,0.62102
0.61871,0.6099254794520548,0.026856235378107645,0.61631,0.61528,0.61555,0.6129,0.62122,0.62467,0.62102,0.6203
0.62122,0.6100088219178083,0.026843918663501727,0.61871,0.61631,0.61528,0.61555,0.62467,0.62102,0.6203,0.62243
0.62467,0.6101200821917808,0.026820220726690186,0.62122,0.61871,0.61631,0.61528,0.62102,0.6203,0.62243,0.62095
0.62102,0.6102333972602739,0.026778514030872436,0.62467,0.62122,0.61871,0.61631,0.6203,0.62243,0.62095,0.62661
0.6203,0.6103546849315068,0.026723370379120984,0.62102,0.62467,0.62122,0.61871,0.62243,0.62095,0.62661,0.63111
0.62243,0.6104887397260274,0.026660637374611353,0.6203,0.62102,0.62467,0.62122,0.62095,0.62661,0.63111,0.63081
0.62095,0.6106190684931507,0.026594925809263537,0.62243,0.6203,0.62102,0.62467,0.62661,0.63111,0.63081,0.63183
0.62661,0.6107483835616438,0.026557484248939823,0.62095,0.62243,0.6203,0.62102,0.63111,0.63081,0.63183,0.63047
0.63111,0.6108822191780822,0.026536604332737437,0.62661,0.62095,0.62243,0.6203,0.63081,0.63183,0.63047,0.62681
0.63081,0.6110302739726028,0.02649648175756772,0.63111,0.62661,0.62095,0.62243,0.63183,0.63047,0.62681,0.62628
0.63183,0.611202410958904,0.02642667649242021,0.63081,0.63111,0.62661,0.62095,0.63047,0.62681,0.62628,0.6285
0.63047,0.6113724383561644,0.02635013071729048,0.63183,0.63081,0.63111,0.62661,0.62681,0.62628,0.6285,0.62707
0.62681,0.6115691232876712,0.026195823136116653,0.63047,0.63183,0.63081,0.63111,0.62628,0.6285,0.62707,0.62117
0.62628,0.6117283835616439,0.02610768224833332,0.62681,0.63047,0.63183,0.63081,0.6285,0.62707,0.62117,0.62143
0.6285,0.6118980821917809,0.026014420317273364,0.62628,0.62681,0.63047,0.63183,0.62707,0.62117,0.62143,0.6244
0.62707,0.6120365205479452,0.025960135398204496,0.6285,0.62628,0.62681,0.63047,0.62117,0.62143,0.6244,0.62533
0.62117,0.6121749041095891,0.025873447053341925,0.62707,0.6285,0.62628,0.62681,0.62143,0.6244,0.62533,0.62688
0.62143,0.6123414520547945,0.02573609309356994,0.62117,0.62707,0.6285,0.62628,0.6244,0.62533,0.62688,0.62867
0.6244,0.6125213150684932,0.025589515279150498,0.62143,0.62117,0.62707,0.6285,0.62533,0.62688,0.62867,0.62717
0.62533,0.6127206301369863,0.02540400371637521,0.6244,0.62143,0.62117,0.62707,0.62688,0.62867,0.62717,0.6253
0.62688,0.6129090410958904,0.025252433739983378,0.62533,0.6244,0.62143,0.62117,0.62867,0.62717,0.6253,0.62519
0.62867,0.613100602739726,0.025105234627058378,0.62688,0.62533,0.6244,0.62143,0.62717,0.6253,0.62519,0.62547
0.62717,0.6132869589041096,0.02495566980240675,0.62867,0.62688,0.62533,0.6244,0.6253,0.62519,0.62547,0.62726
0.6253,0.6134488767123287,0.024840782437081054,0.62717,0.62867,0.62688,0.62533,0.62519,0.62547,0.62726,0.62898
0.62519,0.6136230684931507,0.02469878859662732,0.6253,0.62717,0.62867,0.62688,0.62547,0.62726,0.62898,0.63755
0.62547,0.6138156712328767,0.024515134715342335,0.62519,0.6253,0.62717,0.62867,0.62726,0.62898,0.63755,0.64531
